Id,packedCAP
0with0,0.7014492753623187
0with1,0.2863802863802864
0with2,0.3298602883430599
0with3,0.3787878787878788
0with4,0.1274074074074074
0with5,0.49090909090909085
0with6,0.3618570340040359
0with7,0.6848290598290598
0with8,0.04195011337868481
0with9,0.17093023255813955
0with10,0.0
0with11,0.6037735849056604
0with12,0.5523809523809524
0with13,0.22368421052631574
0with14,0.24293492531801958
0with15,0.11065573770491802
0with16,0.22222222222222224
0with17,0.2645833333333334
0with18,0.56
0with19,0.3697478991596639
1with0,0.43441045949893264
1with1,0.3448275862068966
1with2,0.6710758377425045
1with3,0.20666666666666667
1with4,0.03917910447761194
1with5,0.5161290322580645
1with6,0.23169146034277616
1with7,0.8095238095238095
1with8,0.08744747899159663
1with9,0.35555555555555557
1with10,0.072
1with11,0.5758231667322575
1with12,0.4647342995169082
1with13,0.3006644518272425
1with14,0.24363180729454925
1with15,0.10457746478873241
1with16,0.23256802721088435
1with17,0.24022121669180496
1with18,0.7368421052631579
1with19,0.21590909090909088
2with0,0.5017006802721088
2with1,0.2222222222222222
2with2,0.375
2with3,0.16533776301218164
2with4,0.11636363636363638
2with5,0.44
2with6,0.3790933333333335
2with7,0.7787375415282395
2with8,0.08609132802681191
2with9,0.3305050505050505
2with10,0.018518518518518517
2with11,0.5714285714285714
2with12,0.4278571428571428
2with13,0.1928571428571428
2with14,0.2050845517516528
2with15,0.20369822485207104
2with16,0.20546737213403882
2with17,0.27218045112781947
2with18,0.6720148006152064
2with19,0.4642857142857143
3with0,0.2740807579517257
3with1,0.2631578947368421
3with2,0.2609628466771325
3with3,0.11547619047619045
3with4,0.1103448275862069
3with5,0.6452991452991453
3with6,0.2400185529496822
3with7,0.6627565982404692
3with8,0.11342281879194627
3with9,0.1509433962264151
3with10,0.05555555555555555
3with11,0.5607035607035612
3with12,0.38169642857142866
3with13,0.2780748663101604
3with14,0.2354731011135832
3with15,0.12735849056603774
3with16,0.1753246753246753
3with17,0.26684088269454115
3with18,0.5715586300955756
3with19,0.2755810657596372
4with0,0.435344827586207
4with1,0.18
4with2,0.3342403628117915
4with3,0.18000000000000002
4with4,0.11424242424242423
4with5,0.6153846153846154
4with6,0.24597438996885532
4with7,0.8157894736842105
4with8,0.10446570972886764
4with9,0.20588235294117646
4with10,0.0
4with11,0.5010141987829613
4with12,0.4085213032581453
4with13,0.24537037037037038
4with14,0.27149497149340873
4with15,0.1680672268907563
4with16,0.07826086956521738
4with17,0.2913752913752913
4with18,0.6034313725490197
4with19,0.4352346999405823
5with0,0.3927125506072874
5with1,0.30434782608695654
5with2,0.3160493827160494
5with3,0.2794930875576037
5with4,0.1044776119402985
5with5,0.24927536231884054
5with6,0.28234837791536305
5with7,0.8181818181818182
5with8,0.0947466705980638
5with9,0.23529411764705882
5with10,0.03333333333333333
5with11,0.41759079974182944
5with12,0.46444444444444444
5with13,0.3273601398601399
5with14,0.23347546006941083
5with15,0.16666666666666666
5with16,0.42500000000000004
5with17,0.16953316953316955
5with18,0.6472527472527473
5with19,0.5084967320261439
6with0,0.46801712779973664
6with1,0.175
6with2,0.42100000000000004
6with3,0.2247252747252747
6with4,0.06450617283950617
6with5,0.3939393939393939
6with6,0.20321292382038747
6with7,0.7346256684491983
6with8,0.11252843755336278
6with9,0.48809523809523825
6with10,0.02857142857142857
6with11,0.6309547083740633
6with12,0.5148459383753502
6with13,0.3170731707317073
6with14,0.2450234373421942
6with15,0.12679324894514765
6with16,0.25925925925925924
6with17,0.2543650793650794
6with18,0.6283609839816935
6with19,0.2794486215538847
7with0,0.6745356037151704
7with1,0.22564102564102567
7with2,0.6037837837837838
7with3,0.13787352997879312
7with4,0.03787878787878788
7with5,0.56
7with6,0.2819903494826093
7with7,0.8
7with8,0.12075917412441758
7with9,0.2560763888888889
7with10,0.0425531914893617
7with11,0.5660526315789476
7with12,0.3611111111111111
7with13,0.2702702702702703
7with14,0.23085586284068035
7with15,0.08433734939759036
7with16,0.2579365079365079
7with17,0.1869918699186992
7with18,0.5974085540649009
7with19,0.2935363868867706
8with0,0.40322871572871566
8with1,0.20000000000000004
8with2,0.48251748251748294
8with3,0.2916666666666667
8with4,0.09874868083823309
8with5,0.52
8with6,0.24320818070818073
8with7,0.6879219804951239
8with8,0.08870214752567693
8with9,0.23931623931623927
8with10,0.05263157894736842
8with11,0.7580128205128206
8with12,0.32
8with13,0.28893058161350843
8with14,0.19315868202969683
8with15,0.12532411408815905
8with16,0.13713080168776373
8with17,0.5
8with18,0.7931034482758621
8with19,0.31611570247933884
9with0,0.30124777183600704
9with1,0.1948529411764706
9with2,0.3310828604946253
9with3,0.08105444690810545
9with4,0.10701956271576524
9with5,0.5334821428571428
9with6,0.25661984482074496
9with7,0.6633333333333334
9with8,0.06508562002513617
9with9,0.2031746031746032
9with10,0.0
9with11,0.5846030473135525
9with12,0.5860260770975058
9with13,0.3333333333333333
9with14,0.23478840901416853
9with15,0.09033613445378151
9with16,0.2962962962962963
9with17,0.24584717607973422
9with18,0.5714285714285714
9with19,0.4988095238095238
